artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,mode_Major,mode_Minor
"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165,88,68,17,71,15,0,11,5,False,False,False,False,False,False,False,False,False,True,False,False,True
Post Malone,1,2023,4,14,2528,39,172825906,170,50,37,90,0,0,12,5,False,False,False,False,True,False,False,False,False,False,False,True,False
Eminem,1,2004,1,1,12985,61,1241559043,84,62,24,67,21,0,13,28,False,False,False,False,False,False,True,False,False,False,False,False,True
NewJeans,1,2023,7,7,77,35,29562220,134,81,53,72,51,0,12,5,False,False,False,False,False,False,True,False,False,False,False,False,True
Carin Leon,1,2022,4,20,266,27,77309611,158,54,50,40,61,0,10,6,False,True,False,False,False,False,False,False,False,False,False,True,False
"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506,116,80,92,80,4,0,10,3,False,False,False,True,False,False,False,False,False,False,False,True,False
Ruth B.,1,2017,4,28,3423,21,1116995633,117,61,45,69,2,0,9,3,False,False,False,True,False,False,False,False,False,False,False,True,False
Imagine Dragons,1,2021,3,11,4198,44,838079900,114,77,65,72,2,0,7,5,False,False,False,False,False,False,False,True,False,False,False,False,True
Adele,1,2011,1,1,14739,43,1163620694,108,61,47,68,0,0,13,3,False,False,False,False,True,False,False,False,False,False,False,False,True
"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526,144,74,37,53,7,0,21,10,False,False,False,False,False,False,True,False,False,False,False,False,True
Anggi Marito,1,2022,12,2,213,6,179659294,130,51,18,44,76,0,11,3,False,False,False,False,False,False,False,True,False,False,False,True,False
"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,39058561,116,77,79,62,33,1,15,3,False,False,True,False,False,False,False,False,False,False,False,True,False
Taylor Swift,1,2023,7,7,99,15,36912123,121,65,49,78,0,0,17,4,False,False,False,False,False,False,False,False,False,True,False,True,False
Tears For Fears,1,1985,2,17,41751,25,1205951614,112,64,54,81,36,0,11,6,False,False,False,False,False,False,False,False,False,True,False,True,False
J. Cole,1,2014,12,9,21164,36,1791000570,100,70,47,52,30,0,6,33,False,True,False,False,False,False,False,False,False,False,False,False,True
Loreen,1,2023,2,25,2988,59,201660859,150,55,30,78,24,0,12,8,False,False,False,False,False,True,False,False,False,False,False,False,True
"Taiu, Milo j",2,2023,2,8,893,38,248088961,120,84,96,71,18,0,34,17,False,False,False,False,False,False,False,True,False,False,False,False,True
"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753,127,82,89,85,4,0,23,6,False,False,True,False,False,False,False,False,False,False,False,False,True
Taylor Swift,1,2020,7,24,7324,22,607123776,90,51,42,61,53,0,9,3,False,False,False,False,False,False,False,True,False,False,False,True,False
"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345,128,75,79,63,33,0,15,4,True,False,False,False,False,False,False,False,False,False,False,False,True
"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784,143,64,31,87,4,4,8,4,True,False,False,False,False,False,False,False,False,False,False,True,False
Sabrina Carpenter,1,2022,7,15,2346,27,342897938,139,74,68,68,3,0,26,4,False,False,False,False,False,False,False,False,False,False,True,True,False
"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762,162,49,78,64,19,0,11,4,False,True,False,False,False,False,False,False,False,False,False,True,False
Peso Pluma,1,2021,6,11,457,24,330346424,92,81,39,60,31,0,7,3,False,False,False,False,False,False,False,False,False,False,False,True,False
Feid,1,2022,8,19,3430,38,601863821,95,87,57,55,10,0,29,7,False,False,False,False,False,False,False,True,False,False,False,True,False
"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826,146,63,88,93,3,0,10,8,False,False,False,False,True,False,False,False,False,False,False,True,False
Harry Styles,1,2019,11,17,21915,34,2322580122,95,55,56,82,12,0,34,5,False,False,False,False,False,False,False,False,False,False,False,True,False
"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893,115,35,12,30,93,0,10,3,False,False,False,False,False,False,True,False,False,False,False,False,True
"Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503,128,78,59,65,10,0,26,5,False,False,True,False,False,False,False,False,False,False,False,True,False
(G)I-DLE,1,2023,5,15,451,33,96273746,130,82,69,83,3,0,27,5,False,False,False,False,False,False,True,False,False,False,False,False,True
NewJeans,1,2023,1,2,1783,27,430977451,127,80,74,77,36,0,11,4,True,False,False,False,False,False,False,False,False,False,False,False,True
Lana Del Rey,1,2011,1,1,9389,46,284819874,150,42,20,86,21,0,9,9,False,False,False,False,True,False,False,False,False,False,False,True,False
"Shakira, Bizarrap",2,2023,1,11,5724,44,721975598,122,78,50,63,27,0,9,5,False,False,False,False,True,False,False,False,False,False,False,False,True
Arctic Monkeys,1,2007,4,20,13985,25,1217120710,140,52,20,85,0,0,7,5,False,False,False,False,False,False,False,False,False,False,False,True,False
"Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132,140,63,22,54,46,0,12,8,False,False,False,False,False,False,False,False,False,False,False,True,False
"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178,119,75,48,53,18,0,18,34,False,False,False,True,False,False,False,False,False,False,False,False,True
"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632,110,76,96,72,32,0,9,4,False,False,False,False,False,False,False,False,False,True,False,False,True
Ed Sheeran,1,2017,1,1,16596,13,2559529074,95,60,17,45,16,0,11,2,False,False,False,False,False,False,False,False,False,False,True,True,False
d4vd,1,2022,7,20,2335,23,681583126,132,56,20,55,45,1,32,3,False,False,False,False,False,False,False,False,True,False,False,True,False
Imagine Dragons,1,2017,1,31,18986,23,2594040133,125,77,74,78,4,0,23,11,False,True,False,False,False,False,False,False,False,False,False,False,True
"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253,124,84,65,50,67,0,13,6,False,False,False,False,False,True,False,False,False,False,False,False,True
"Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641,133,93,68,65,42,0,12,25,False,False,True,False,False,False,False,False,False,False,False,False,True
Eminem,1,2002,1,1,21081,43,1687664027,112,92,67,66,0,0,36,9,False,False,False,False,False,False,False,False,False,True,False,True,False
"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388,97,79,92,89,5,0,6,5,False,False,False,False,False,False,False,False,False,False,False,True,False
"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552,90,59,52,48,38,5,10,11,False,False,False,False,False,False,False,True,False,False,False,False,True
"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,1133865788,80,65,27,69,8,0,53,4,False,False,False,False,False,True,False,False,False,False,False,False,True
Keane,1,2004,1,1,20015,16,1089402494,172,45,33,59,6,0,8,3,True,False,False,False,False,False,False,False,False,False,False,True,False
New West,1,2019,5,10,1507,14,411747614,120,60,24,35,73,0,31,3,False,False,False,False,False,False,True,False,False,False,False,True,False
